,y_test,y_hat,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
6454,0,0,0.67,0.92,5,258,3,0,0,0,technical,high
4989,0,0,0.69,0.97,3,158,2,0,0,0,accounting,low
12613,1,1,0.81,0.97,5,243,5,0,1,0,support,medium
12820,0,0,0.75,0.92,3,211,3,0,0,0,sales,medium
465,1,1,0.37,0.54,2,152,3,0,1,0,marketing,medium
1604,1,1,0.87,0.94,5,219,5,0,1,0,marketing,low
14120,0,0,0.85,0.58,4,186,7,0,0,0,sales,medium
604,1,1,0.11,0.79,6,292,4,0,1,0,IT,low
3065,0,0,0.73,0.55,4,171,4,0,0,0,sales,medium
5647,0,0,0.64,0.63,5,105,5,1,0,0,RandD,low
14882,1,1,0.46,0.53,2,161,3,0,1,0,sales,low
3953,0,0,0.76,0.75,4,193,4,0,0,0,IT,low
11200,0,0,0.69,0.72,4,210,2,1,0,0,sales,high
3921,0,0,0.26,0.45,2,157,3,0,0,0,accounting,medium
13742,0,0,0.67,0.72,2,134,10,0,0,0,management,high
13967,0,0,0.44,0.44,2,141,7,1,0,1,management,high
12711,1,1,0.4,0.55,2,159,3,0,1,0,sales,low
12663,1,1,0.1,0.79,6,256,5,0,1,0,support,low
10611,0,0,0.52,0.97,4,170,3,0,0,0,support,medium
3345,0,0,0.17,0.78,6,284,4,0,0,0,IT,medium
10286,0,0,0.54,0.49,4,190,3,0,0,0,technical,medium
10372,0,0,0.78,0.91,3,166,2,1,0,0,product_mng,low
5399,0,0,0.84,0.53,5,190,3,0,0,0,technical,medium
3007,0,0,0.95,0.79,4,174,3,0,0,0,accounting,low
14673,1,1,0.8,0.53,3,255,5,0,1,0,technical,high
1382,1,1,0.1,0.88,6,263,4,0,1,0,marketing,low
4093,0,0,0.69,0.74,4,266,2,1,0,0,support,low
14711,1,1,0.91,0.84,5,265,5,0,1,0,technical,medium
14151,0,0,0.53,0.74,3,172,10,0,0,1,management,high
8355,0,0,0.53,0.78,5,275,5,0,0,0,hr,low
9193,0,0,0.66,0.54,2,136,2,0,0,0,technical,low
8400,0,0,0.83,0.37,5,101,4,1,0,0,support,low
2837,0,0,0.72,0.68,5,266,4,0,0,0,sales,medium
5857,0,0,0.54,0.5,4,160,3,0,0,0,support,medium
5571,0,0,0.98,0.86,4,254,2,1,0,0,RandD,low
1098,1,1,0.42,0.48,2,132,3,0,1,0,hr,low
5288,0,0,0.94,0.7,3,271,4,0,0,0,sales,medium
11564,0,0,0.66,0.5,3,139,10,1,0,0,sales,low
5506,0,0,0.92,0.81,3,196,2,0,0,0,sales,medium
3563,0,0,0.85,0.89,4,251,2,0,0,0,support,low
29,1,1,0.38,0.5,2,132,3,0,1,0,accounting,low
679,1,1,0.86,1.0,5,229,5,0,1,0,product_mng,low
6083,0,0,0.19,0.76,3,107,5,0,0,0,support,low
14778,1,1,0.1,0.97,6,282,4,0,1,0,hr,medium
2083,0,0,0.25,0.65,5,220,3,0,0,0,sales,low
11383,0,0,0.86,0.89,4,153,4,0,0,0,sales,low
597,1,1,0.11,0.9,6,263,4,0,1,0,IT,low
4716,0,0,0.8,0.79,4,168,3,0,0,0,management,low
4663,0,0,0.63,0.56,5,286,4,0,0,0,marketing,medium
4262,0,0,0.76,0.56,3,154,2,0,0,0,IT,low
5519,0,0,0.98,0.57,5,141,3,0,0,1,sales,high
2574,0,0,0.26,0.67,2,242,6,0,0,0,technical,low
10390,0,0,0.59,0.61,3,210,2,0,0,0,sales,medium
11883,0,0,0.86,0.83,4,208,3,1,0,0,IT,low
6116,0,0,0.45,0.75,4,169,2,0,0,0,sales,low
14361,1,1,0.11,0.91,6,278,4,0,1,0,marketing,low
13438,0,0,0.48,0.93,3,150,10,0,0,0,technical,low
8877,0,0,0.86,0.68,5,246,2,0,0,0,sales,medium
11389,0,0,0.16,0.42,3,182,3,1,0,0,product_mng,low
12445,1,1,0.09,0.94,6,283,5,0,1,0,IT,low
14581,1,1,0.37,0.45,2,142,3,0,1,0,IT,low
6011,0,0,0.56,0.76,3,237,3,0,0,0,technical,medium
2599,0,0,0.48,0.89,5,179,3,0,0,0,management,medium
10292,0,0,0.45,0.54,2,184,2,0,0,0,IT,low
7247,0,0,0.84,0.52,4,251,3,0,0,0,RandD,low
3183,0,0,0.9,0.45,4,241,6,0,0,0,support,medium
7117,0,0,0.95,0.5,4,186,3,1,0,0,sales,low
890,1,1,0.43,0.57,2,131,3,1,1,0,support,medium
12885,0,0,0.72,0.79,3,221,3,0,0,0,product_mng,high
6502,0,0,0.96,0.59,6,133,5,0,0,0,sales,medium
8848,0,0,0.53,0.71,4,271,3,0,0,0,IT,medium
1458,1,1,0.4,0.5,2,136,3,0,1,0,marketing,low
11666,0,0,0.98,0.99,4,261,10,1,0,0,sales,low
1569,1,1,0.37,0.48,2,153,3,0,1,0,technical,low
13578,0,0,0.85,0.49,4,139,2,0,0,0,sales,medium
12009,1,1,0.42,0.53,2,142,3,0,1,0,sales,low
3769,0,0,0.56,0.56,4,195,2,0,0,0,hr,medium
4128,0,0,0.47,0.62,6,171,5,1,0,0,marketing,high
9126,0,0,0.64,0.91,4,150,3,0,0,0,technical,low
4316,0,0,0.5,0.51,5,238,4,0,0,0,technical,medium
6106,0,0,0.61,0.52,4,171,2,0,0,0,marketing,low
5600,0,0,0.22,0.58,2,255,5,0,0,0,sales,medium
5928,0,0,0.84,0.74,2,168,3,0,0,0,support,low
2005,0,0,0.36,0.95,3,206,4,0,0,0,sales,low
11774,0,0,0.64,0.6,3,265,4,0,0,0,sales,low
10888,0,0,0.2,0.94,6,191,5,0,0,0,support,low
8718,0,0,0.91,0.61,4,176,3,0,0,0,sales,low
11381,0,0,0.37,0.72,3,121,2,0,0,0,sales,low
10447,0,0,0.53,0.89,3,167,2,0,0,0,product_mng,low
9157,0,0,0.3,0.54,2,99,2,0,0,0,RandD,medium
8273,0,0,0.99,0.92,5,174,5,0,0,0,accounting,medium
6977,0,0,0.81,0.86,5,159,2,0,0,0,accounting,medium
14050,0,0,0.49,0.62,4,161,2,0,0,0,IT,medium
173,1,1,0.1,0.88,6,284,4,0,1,0,sales,low
13640,0,0,0.78,0.57,4,157,3,0,0,0,accounting,low
7335,0,0,0.93,0.67,4,135,3,1,0,0,marketing,medium
13169,0,0,0.88,0.72,5,244,2,0,0,0,technical,low
13643,0,0,0.91,0.82,4,238,2,0,0,0,management,low
14477,1,1,0.11,0.95,6,286,4,0,1,0,technical,medium
13287,0,0,0.59,0.48,3,197,3,0,0,0,product_mng,medium
6464,0,0,0.67,0.97,5,239,3,0,0,0,support,low
5741,0,0,0.59,0.39,4,190,5,0,0,0,sales,medium
2448,0,0,0.25,0.69,3,187,4,0,0,0,marketing,medium
13340,0,0,0.8,0.9,4,211,8,0,0,0,accounting,medium
7408,0,0,0.69,0.61,4,260,4,0,0,0,technical,medium
8552,0,0,0.2,0.54,4,149,3,0,0,0,accounting,low
8100,0,0,0.71,0.53,5,162,2,0,0,0,sales,low
3763,0,0,0.78,0.92,3,169,3,0,0,0,sales,high
12514,1,1,0.83,0.96,5,275,5,0,1,0,support,low
10036,0,0,0.85,0.46,3,123,5,1,0,0,technical,low
10439,0,0,0.23,0.64,3,228,4,1,0,0,technical,medium
5024,0,0,0.61,0.73,3,165,3,1,0,0,IT,low
14285,1,1,0.11,0.97,6,277,4,0,1,0,product_mng,medium
7248,0,0,0.57,0.75,5,252,3,0,0,0,RandD,medium
13720,0,0,0.75,0.87,4,146,8,1,0,0,support,low
2729,0,0,0.72,0.66,4,202,4,0,0,0,technical,medium
8194,0,0,0.79,0.52,3,134,2,1,0,0,sales,medium
3718,0,0,0.82,0.58,4,136,3,0,0,0,support,medium
1357,1,1,0.45,0.5,2,157,3,0,1,0,management,medium
7123,0,0,0.68,1.0,4,185,2,1,0,0,sales,low
9025,0,0,0.71,0.8,4,199,2,0,0,0,sales,low
9602,0,0,0.99,0.68,4,238,3,0,0,0,IT,low
437,1,1,0.43,0.53,2,160,3,0,1,0,support,low
902,1,1,0.36,0.55,2,152,3,0,1,0,IT,low
6331,0,0,0.75,0.49,2,173,3,1,0,0,RandD,low
11650,0,0,0.97,0.38,5,211,7,1,0,0,sales,medium
6233,0,0,0.55,0.69,5,193,2,0,0,0,support,low
3835,0,0,0.18,0.64,3,223,4,1,0,0,sales,low
933,1,1,0.1,0.96,6,254,4,1,1,0,sales,medium
13621,0,0,0.17,0.78,3,239,6,0,0,0,sales,low
10987,0,0,0.54,0.73,3,157,3,0,0,0,RandD,low
6369,0,0,0.91,0.81,4,139,2,0,0,0,technical,high
5073,0,0,1.0,0.85,3,150,3,0,0,0,technical,low
14723,1,1,0.09,0.96,6,259,4,0,1,0,support,low
4091,0,0,0.57,0.76,3,200,2,0,0,0,support,low
4352,0,0,0.44,0.68,2,120,2,0,0,0,marketing,medium
7143,0,0,0.84,0.78,3,221,3,1,0,0,technical,medium
14841,1,1,0.1,0.9,7,286,4,0,1,0,sales,low
6165,0,0,0.27,0.39,4,193,4,0,0,0,technical,medium
12970,0,0,0.58,0.77,4,140,3,0,0,0,RandD,low
5619,0,0,0.7,0.88,4,191,3,1,0,0,support,low
2469,0,0,0.76,0.74,3,224,2,0,0,0,accounting,low
1591,1,1,0.41,0.55,2,159,3,0,1,0,IT,medium
8864,0,0,0.81,0.56,3,142,3,0,0,0,sales,low
3762,0,0,0.2,0.95,5,169,5,0,0,0,sales,medium
6733,0,0,0.96,0.62,5,185,3,0,0,0,sales,low
5453,0,0,0.51,0.88,3,202,4,0,0,0,hr,low
13541,0,0,0.94,0.61,3,140,2,0,0,0,support,medium
14571,1,1,0.1,0.87,6,290,4,0,1,0,support,low
552,1,1,0.82,0.85,5,248,5,0,1,0,sales,low
3776,0,0,0.53,0.68,4,214,3,0,0,0,technical,medium
2438,0,0,0.88,0.63,3,273,3,1,0,0,RandD,low
3402,0,0,0.55,0.79,3,162,2,0,0,0,technical,low
3115,0,0,0.21,0.52,5,130,2,0,0,0,IT,low
8581,0,0,0.71,0.84,3,139,2,0,0,0,hr,low
1508,1,1,0.88,0.88,5,248,5,0,1,0,technical,medium
10523,0,0,0.62,0.69,3,207,4,0,0,0,product_mng,low
10886,0,0,0.63,0.71,4,244,2,0,0,0,support,low
6590,0,0,0.66,0.76,3,207,2,0,0,0,accounting,low
21,1,1,0.38,0.55,2,147,3,0,1,0,sales,low
6759,0,0,0.22,0.57,5,174,6,0,0,0,technical,high
82,1,1,0.79,0.59,4,139,3,0,1,1,management,low
11428,0,0,0.64,0.55,4,215,2,0,0,0,sales,low
3448,0,0,0.9,0.99,4,190,2,0,0,0,sales,low
14399,1,1,0.37,0.55,2,152,3,0,1,0,technical,medium
2042,0,0,0.71,0.92,3,202,4,0,0,0,technical,low
5400,0,0,0.33,0.82,2,114,5,0,0,0,technical,high
6758,0,0,0.64,0.41,3,231,6,0,0,0,technical,medium
1009,1,1,0.75,0.88,4,239,5,0,1,0,sales,low
973,1,1,0.37,0.47,2,150,3,0,1,0,technical,medium
326,1,1,0.37,0.52,2,157,3,0,1,0,sales,low
8922,0,0,0.76,0.77,3,254,3,0,0,0,product_mng,medium
11935,0,0,0.5,0.86,3,180,7,0,0,1,management,high
6374,0,0,0.69,0.97,5,240,4,0,0,0,technical,medium
895,1,1,0.1,0.79,6,294,4,0,1,0,technical,medium
5346,0,0,0.55,0.66,3,164,2,0,0,0,technical,low
13078,0,0,0.8,0.72,4,173,3,0,0,0,accounting,low
711,1,1,0.4,0.55,2,159,3,0,1,0,sales,low
4479,0,0,0.54,0.86,4,205,5,0,0,0,support,low
8627,0,0,0.7,0.58,3,205,3,0,0,0,sales,low
7249,0,0,0.46,0.55,5,261,5,0,0,0,RandD,medium
1670,1,1,0.44,0.57,2,141,3,0,1,0,product_mng,medium
1421,1,1,0.86,0.93,5,241,5,1,1,0,support,low
6674,0,0,0.65,0.54,4,260,3,0,0,0,technical,medium
3215,0,0,0.34,0.63,5,248,3,0,0,0,sales,low
9876,0,0,0.93,0.6,4,271,3,0,0,0,accounting,low
11930,0,0,0.97,0.92,6,137,8,1,0,0,product_mng,low
2663,0,0,0.54,0.94,5,229,3,1,0,0,product_mng,low
7981,0,0,0.57,0.89,4,255,3,1,0,0,technical,low
5701,0,0,0.74,0.55,6,130,2,0,0,0,support,medium
10825,0,0,0.73,0.93,3,249,2,0,0,0,IT,medium
13001,0,0,0.38,0.52,2,171,3,0,0,0,accounting,medium
8780,0,0,0.83,0.78,5,240,3,0,0,0,accounting,high
446,1,1,0.44,0.46,2,143,3,0,1,0,IT,low
12425,1,1,0.42,0.51,2,136,3,0,1,0,technical,medium
9627,0,0,0.95,0.86,2,263,4,0,0,0,sales,medium
8395,0,0,0.63,0.77,5,210,3,0,0,0,RandD,medium
4919,0,0,0.55,0.93,3,217,3,1,0,0,technical,low
7619,0,0,0.72,0.82,4,231,3,0,0,0,IT,low
2010,0,0,0.56,0.58,4,258,3,0,0,0,sales,medium
5193,0,0,0.74,0.83,3,170,3,0,0,0,management,low
4548,0,0,0.86,0.56,4,247,3,0,0,1,technical,high
6498,0,0,0.6,0.75,5,233,3,1,0,0,sales,low
761,1,1,0.09,0.93,6,249,4,0,1,0,sales,low
6745,0,0,0.73,0.87,3,227,4,0,0,0,accounting,low
10770,0,0,0.72,0.61,3,175,3,0,0,0,sales,high
3575,0,0,0.64,0.38,6,215,3,0,0,0,IT,medium
6829,0,0,0.68,0.51,5,158,3,0,0,0,technical,medium
7192,0,0,0.66,0.72,5,152,3,1,0,0,sales,low
1823,1,1,0.1,0.89,6,280,4,0,1,0,product_mng,medium
8165,0,0,0.6,0.59,5,266,2,0,0,0,RandD,low
13105,0,0,0.92,0.98,3,149,3,0,0,0,support,medium
2974,0,0,0.21,0.76,5,239,2,0,0,0,RandD,low
739,1,1,0.11,0.85,7,275,4,0,1,0,support,medium
1971,1,1,0.42,0.47,2,139,3,1,1,0,IT,medium
14097,0,0,0.86,0.62,4,186,3,0,0,0,product_mng,low
643,1,1,0.37,0.47,2,148,3,0,1,0,hr,low
2418,0,0,0.73,0.72,4,197,3,0,0,0,support,low
7865,0,0,0.85,0.69,4,216,4,0,0,0,management,low
14683,1,1,0.89,0.85,5,266,5,0,1,0,sales,low
10618,0,0,0.92,0.64,4,259,2,0,0,0,sales,medium
5378,0,0,0.84,0.5,5,195,3,0,0,0,technical,low
1293,1,0,0.72,1.0,2,240,2,0,1,0,RandD,low
2323,0,0,0.86,0.7,5,160,3,0,0,0,technical,medium
14474,1,1,0.11,0.78,6,260,4,0,1,0,hr,medium
8247,0,0,0.99,0.65,3,209,2,1,0,0,support,low
7711,0,0,0.96,0.57,3,263,3,0,0,0,support,low
5776,0,0,0.59,0.58,4,233,4,0,0,0,support,low
3957,0,0,0.54,0.91,3,151,3,0,0,0,product_mng,medium
11835,0,0,0.16,0.93,6,218,6,1,0,0,product_mng,high
2848,0,0,0.53,0.92,3,207,4,1,0,0,sales,low
9672,0,0,0.94,0.81,3,150,2,0,0,0,support,low
13625,0,0,0.89,0.99,2,258,3,0,0,0,sales,medium
9708,0,0,0.47,0.43,3,120,3,0,0,0,sales,high
7434,0,0,0.57,0.62,5,141,3,0,0,0,accounting,medium
12869,0,0,0.63,0.78,4,275,3,0,0,0,support,low
7588,0,0,0.53,0.55,5,224,2,1,0,0,hr,low
4766,0,0,0.88,0.83,4,163,3,0,0,0,hr,low
14143,0,0,0.82,0.84,3,194,3,0,0,0,product_mng,low
12708,1,1,0.11,0.87,6,255,4,0,1,0,sales,low
5337,0,0,0.93,0.84,5,266,3,0,0,0,RandD,low
2104,0,0,0.17,0.73,5,258,4,0,0,0,technical,medium
2300,0,0,0.51,0.41,6,106,5,0,0,0,sales,medium
1992,1,1,0.15,0.63,7,229,3,0,1,0,marketing,low
13492,0,0,0.87,0.88,4,140,8,0,0,0,marketing,medium
1676,1,1,0.1,0.81,7,270,4,0,1,0,RandD,medium
10306,0,0,0.67,0.53,3,264,2,0,0,0,accounting,low
12288,1,1,0.82,0.91,5,232,5,0,1,0,technical,low
9034,0,0,0.59,0.8,5,247,3,0,0,0,accounting,medium
11999,0,0,0.5,0.73,4,180,3,0,0,0,IT,low
1058,1,0,0.31,0.95,6,235,5,0,1,0,product_mng,low
2315,0,0,0.78,0.76,5,168,4,1,0,0,sales,low
4877,0,0,0.65,0.69,4,153,3,0,0,0,product_mng,low
2991,0,0,0.9,0.77,3,156,3,0,0,0,sales,medium
9972,0,0,0.59,0.59,4,244,3,0,0,0,support,medium
7677,0,0,0.5,0.53,5,239,3,0,0,0,technical,medium
5342,0,0,0.28,0.9,4,275,6,0,0,0,marketing,low
2785,0,0,0.71,0.88,3,140,2,0,0,0,technical,low
1001,1,1,0.11,0.85,6,267,4,0,1,0,sales,medium
8707,0,0,0.93,0.94,4,217,2,0,0,0,management,low
1215,1,1,0.74,0.97,5,238,5,0,1,0,IT,low
5230,0,0,0.81,0.62,3,187,3,0,0,0,technical,low
7262,0,0,0.96,0.6,5,182,5,0,0,0,sales,medium
381,1,1,0.38,0.46,2,145,3,0,1,0,hr,medium
776,1,1,0.1,0.97,6,254,5,0,1,0,sales,medium
3234,0,0,0.84,0.79,6,140,2,0,0,0,accounting,high
3749,0,0,0.55,0.77,3,256,3,1,0,0,sales,low
12159,1,1,0.45,0.45,2,132,3,0,1,0,marketing,low
4072,0,0,0.96,0.49,4,252,3,1,0,0,sales,medium
11746,0,0,0.67,0.49,3,247,10,0,0,0,sales,medium
8619,0,0,0.58,0.74,4,180,3,0,0,0,product_mng,high
11011,0,0,0.21,0.7,3,238,8,0,0,0,technical,medium
2196,0,0,0.7,0.87,3,260,2,0,0,0,management,low
10915,0,0,0.98,0.67,4,209,6,0,0,0,marketing,low
258,1,1,0.88,0.88,5,232,5,1,1,0,accounting,medium
4322,0,0,0.95,0.81,4,263,3,0,0,0,support,medium
3078,0,0,0.93,0.59,5,172,3,0,0,0,sales,medium
10436,0,0,0.99,0.87,5,211,2,0,0,0,support,medium
10075,0,0,0.67,0.56,3,193,2,1,0,0,IT,medium
4818,0,0,0.5,0.43,3,184,2,0,0,0,sales,medium
710,1,1,0.64,0.9,6,252,2,0,1,0,sales,low
586,1,1,0.46,0.57,2,152,3,0,1,0,support,low
11108,0,0,0.95,0.8,3,225,2,0,0,0,sales,high
9309,0,0,0.5,0.74,3,155,3,0,0,0,RandD,medium
1896,1,1,0.39,0.49,2,127,3,0,1,0,IT,medium
12185,1,1,0.4,0.46,2,127,3,0,1,0,hr,medium
6423,0,0,0.36,0.69,3,165,3,0,0,0,sales,medium
11332,0,0,0.73,0.49,4,243,2,0,0,0,technical,low
9312,0,0,0.59,0.75,4,266,3,0,0,0,accounting,medium
4698,0,0,0.16,0.78,4,280,6,0,0,0,technical,high
12496,1,1,0.1,0.82,6,244,4,0,1,0,technical,medium
11540,0,0,0.44,0.41,3,125,7,0,0,0,sales,medium
13224,0,0,0.51,0.8,4,198,6,0,0,0,marketing,medium
1576,1,0,0.6,0.85,3,250,2,0,1,0,support,low
5152,0,0,0.73,0.86,4,133,3,0,0,0,technical,high
2212,0,0,0.91,0.89,4,197,4,0,0,0,marketing,medium
9147,0,0,0.74,0.54,3,243,3,0,0,0,IT,medium
3260,0,0,0.58,0.76,3,220,3,0,0,0,support,medium
1649,1,1,0.38,0.51,2,138,3,0,1,0,technical,low
1088,1,1,0.91,0.9,4,250,5,0,1,0,sales,medium
653,1,1,0.37,0.51,2,132,3,0,1,0,technical,medium
2319,0,0,0.99,0.79,4,192,3,0,0,0,hr,low
4026,0,0,0.91,0.93,4,184,3,0,0,0,technical,low
12272,1,1,0.81,0.93,5,270,5,0,1,0,technical,medium
8516,0,0,0.67,0.64,4,149,4,0,0,0,technical,low
8376,0,0,0.71,0.96,3,132,2,0,0,0,support,medium
737,1,1,0.42,0.56,2,143,3,0,1,0,support,medium
8556,0,0,0.95,0.95,4,204,3,1,0,0,marketing,low
5821,0,0,0.72,0.84,3,167,3,0,0,0,sales,medium
10678,0,0,0.16,0.83,5,173,4,0,0,0,IT,high
12358,1,1,0.31,0.62,6,135,5,0,1,0,support,low
10522,0,0,0.86,0.63,4,244,3,0,0,0,product_mng,low
11620,0,0,0.63,0.65,3,190,10,0,0,0,sales,medium
7567,0,0,0.94,0.72,3,152,2,1,0,0,sales,medium
10978,0,0,0.81,0.55,3,199,2,1,0,0,IT,medium
2110,0,0,0.93,0.75,5,143,3,0,0,0,support,low
6342,0,0,0.58,0.78,5,211,3,1,0,0,marketing,low
12973,0,0,0.84,0.93,3,159,3,0,0,0,sales,low
12058,1,1,0.38,0.54,2,128,3,0,1,0,technical,low
5586,0,0,0.81,0.99,2,156,5,0,0,0,sales,medium
8868,0,0,0.98,0.51,3,243,2,0,0,0,sales,low
4222,0,0,0.98,0.87,4,152,2,0,0,0,sales,high
10310,0,0,0.9,0.6,3,255,4,1,0,0,marketing,low
2895,0,0,0.48,0.56,5,140,2,0,0,0,IT,low
4625,0,0,0.78,0.67,4,260,3,0,0,0,technical,medium
3582,0,0,0.62,0.91,3,133,3,0,0,0,RandD,medium
7463,0,0,0.5,0.78,4,208,3,1,0,0,technical,medium
1748,1,1,0.89,0.96,4,219,6,0,1,0,product_mng,medium
2369,0,0,0.48,0.69,4,245,3,0,0,0,management,medium
11341,0,0,0.77,0.91,4,239,3,1,0,0,product_mng,low
14648,1,1,0.43,0.53,2,160,3,0,1,0,support,low
